バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,765,WRC,福島県,1032,SORA,福島県,1160,U*PAFE,福島県,0,,-
1st&substream,RUGGED ASH,0,,-,368,WRC,福島県,401,KOME-S,福島県,1086,KOME-S,福島県,2014,SIYORI,福島県
1st&substream,R3,0,,-,658,U*PAFE,福島県,718,SORA,福島県,899,KOME-S,福島県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,523,SHARON,福島県,740,YOSHI,福島県,1114,U*PAFE,福島県,0,,-
1st&substream,Macho Gang,0,,-,374,WRC,福島県,1034,SORA,福島県,1648,U*PAFE,福島県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,WRC,福島県,244,KOME-S,福島県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,862,SORA,福島県,958,SORA,福島県,1201,KOME-S,福島県,0,,-
1st&substream,gentle stress,0,,-,343,WRC,福島県,667,MMSZNN,福島県,1449,KOME-S,福島県,0,,-
1st&substream,GENOM SCREAMS,0,,-,418,WRC,福島県,808,9-LL,福島県,1064,U*PAFE,福島県,0,,-
1st&substream,GAMBOL,0,,-,274,KOME-S,福島県,274,KOME-S,福島県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,408,WRC,福島県,514,WRC,福島県,578,DARK-I,福島県,0,,-
1st&substream,deep in you,0,,-,464,H.KAN7,福島県,495,DTY,福島県,665,U*PAFE,福島県,0,,-
1st&substream,5.1.1.,0,,-,196,WRC,福島県,1004,07KING,福島県,1565,U*PAFE,福島県,0,,-
1st&substream,22DUNK,0,,-,509,SORA,福島県,619,CPU1,福島県,656,KOME-S,福島県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,502,WRC,福島県,617,CPU1,福島県,648,DARK-I,福島県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,545,MALO,福島県,862,XWHW73,福島県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,830,KAICHO,福島県,1055,AOI.K,福島県,1229,U*PAFE,福島県,0,,-
2nd style,I Was The One,0,,-,529,WRC,福島県,641,WRC,福島県,693,UDON-F,福島県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,740,WRC,福島県,895,HITOMI,福島県,1073,U*PAFE,福島県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,707,MALO,福島県,1060,U*PAFE,福島県,1134,U*PAFE,福島県,0,,-
2nd style,.59,0,,-,707,WRC,福島県,994,FUTABA,福島県,1165,U*PAFE,福島県,0,,-
3rd style,THE SAFARI,362,WRC,福島県,1195,SORA,福島県,1775,U*PAFE,福島県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,278,WRC,福島県,396,KOME-S,福島県,0,,-,0,,-
3rd style,Skyscraper,0,,-,712,WRC,福島県,1162,SORA,福島県,1244,U*PAFE,福島県,0,,-
3rd style,Schlagwerk,0,,-,763,I-L,福島県,1302,HAMITN,福島県,1696,U*PAFE,福島県,0,,-
3rd style,REINCARNATION,0,,-,792,K0.,福島県,970,WRC,福島県,1269,DARK-I,福島県,0,,-
3rd style,R5,0,,-,761,WRC,福島県,1165,UDON-F,福島県,1768,U*PAFE,福島県,0,,-
3rd style,Presto,0,,-,516,I-L,福島県,955,TOXIC,福島県,1015,U*PAFE,福島県,0,,-
3rd style,LEADING CYBER,0,,-,825,MA6CON,福島県,1145,J0NY,福島県,1278,UDON-F,福島県,0,,-
3rd style,Holic,0,,-,761,OKASHI,福島県,1161,SORA,福島県,1723,42NVAI,福島県,0,,-
3rd style,era (nostalmix),0,,-,825,WRC,福島県,1094,KOME-S,福島県,1546,U*PAFE,福島県,0,,-
3rd style,Don't Stop!,0,,-,759,WRC,福島県,829,75U,福島県,904,KOME-S,福島県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,604,AAAA,福島県,1254,07KING,福島県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,912,KENTO,福島県,1234,U*PAFE,福島県,1326,U*PAFE,福島県,0,,-
4th style,SWEET LAB,0,,-,537,CPU1,福島県,908,SORA,福島県,1355,U*PAFE,福島県,0,,-
4th style,starmine,447,WRC,福島県,853,HITOMI,福島県,1419,ARTE3S,福島県,1581,KOME-S,福島県,0,,-
4th style,Mr.T.(take me higher),0,,-,843,WRC,福島県,1001,KOME-S,福島県,1754,KOME-S,福島県,0,,-
4th style,minimalian,0,,-,536,WRC,福島県,1093,ARTE3S,福島県,1403,42NVAI,福島県,0,,-
4th style,LOVE WILL・・・,0,,-,553,WRC,福島県,752,WRC,福島県,1460,KOME-S,福島県,0,,-
4th style,KAMIKAZE,0,,-,960,HITOMI,福島県,1461,KOME-S,福島県,2287,KOME-S,福島県,0,,-
4th style,Jam&Marmalade,0,,-,737,WRC,福島県,871,J0NY,福島県,1018,U*PAFE,福島県,0,,-
4th style,Hitch Hiker2,0,,-,776,ACT,福島県,1160,KAICHO,福島県,1323,UDON-F,福島県,1942,U*PAFE,福島県
4th style,HIGHER,0,,-,538,WRC,福島県,924,HAMITN,福島県,1277,UDON-F,福島県,0,,-
4th style,FLOWERS for ALBION,0,,-,241,KENTO,福島県,443,U*PAFE,福島県,0,,-,0,,-
4th style,era (step mix),0,,-,1050,ZIV-R,福島県,1402,VA7MEI,福島県,1708,U*PAFE,福島県,0,,-
4th style,empathy,0,,-,811,WRC,福島県,1288,SORA,福島県,1466,U*PAFE,福島県,0,,-
4th style,DXY!,0,,-,1276,XWHW73,福島県,1847,VA7MEI,福島県,2267,U*PAFE,福島県,0,,-
4th style,Clione,0,,-,528,WRC,福島県,947,KOME-S,福島県,1616,U*PAFE,福島県,2176,U*PAFE,福島県
4th style,CHECKING YOU OUT,0,,-,636,GW,福島県,912,KOME-S,福島県,1373,U*PAFE,福島県,0,,-
4th style,Burnin' The Floor,0,,-,582,WRC,福島県,939,WRC,福島県,1440,ASA8RA,福島県,0,,-
4th style,Broken My Heart,0,,-,876,HITOMI,福島県,1429,SORA,福島県,1818,ASA8RA,福島県,0,,-
4th style,B4U,0,,-,1023,WRC,福島県,1504,TOXIC,福島県,2006,U*PAFE,福島県,0,,-
4th style,ABSOLUTE,0,,-,1319,SORA,福島県,1800,YA9CHU,福島県,2383,KOME-S,福島県,2695,U*PAFE,福島県
4th style,250bpm,0,,-,676,HITOMI,福島県,1036,U*PAFE,福島県,1408,5LBATT,福島県,0,,-
5th style,V,344,WRC,福島県,1282,YA9CHU,福島県,2528,U*PAFE,福島県,3018,U*PAFE,福島県,0,,-
5th style,THE SHINING POLARIS,0,,-,965,ARTE3S,福島県,1323,ARTE3S,福島県,1582,ARTE3S,福島県,0,,-
5th style,THE CUBE,0,,-,737,SORA,福島県,1260,KOME-S,福島県,1346,XWHW73,福島県,0,,-
5th style,sync,0,,-,1054,WRC,福島県,1903,TOSH,福島県,2392,ASA8RA,福島県,0,,-
5th style,still my words,0,,-,911,WRC,福島県,1231,07KING,福島県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,1002,SORA,福島県,1356,GILLE,福島県,1918,U*PAFE,福島県,0,,-
5th style,Spin the disc,0,,-,784,WRC,福島県,1313,U*PAFE,福島県,1339,U*PAFE,福島県,0,,-
5th style,sometime,0,,-,774,AMANE,福島県,1041,AMANE,福島県,1335,UDON-F,福島県,0,,-
5th style,RISLIM,0,,-,893,KAICHO,福島県,1236,XWHW73,福島県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,883,WRC,福島県,1057,SORA,福島県,1715,U*PAFE,福島県,1830,U*PAFE,福島県
5th style,Regulus,0,,-,1028,SORA,福島県,1478,KOME-S,福島県,1727,UDON-F,福島県,0,,-
5th style,Real,0,,-,1054,MO3ZI,福島県,1608,SORA,福島県,1825,U*PAFE,福島県,0,,-
5th style,Radical Faith,0,,-,1145,ROOK.,福島県,1515,KOME-S,福島県,1294,ASA8RA,福島県,0,,-
5th style,QQQ,0,,-,1192,WRC,福島県,1858,ARTE3S,福島県,2165,UDON-F,福島県,0,,-
5th style,outer wall,0,,-,886,HITOMI,福島県,1311,XWHW73,福島県,1751,YA9CHU,福島県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,760,WRC,福島県,973,WRC,福島県,1120,UDON-F,福島県,0,,-
5th style,in my eyes,0,,-,964,ARTE3S,福島県,1466,ARTE3S,福島県,1580,KOME,福島県,0,,-
5th style,Abyss,0,,-,1248,SORA,福島県,1617,07KING,福島県,1881,U*PAFE,福島県,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,1033,HITOMI,福島県,1564,KOME-S,福島県,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,819,SORA,福島県,1224,POZI8N,福島県,1380,U*PAFE,福島県,0,,-
6th style,VJ ARMY,0,,-,1232,AUTO,福島県,1601,AUTO,福島県,2272,U*PAFE,福島県,0,,-
6th style,Take It Easy,0,,-,1415,KAICHO,福島県,2321,1919,福島県,2538,U*PAFE,福島県,0,,-
6th style,Summer Vacation(CU mix),0,,-,1241,SORA,福島県,1862,U*PAFE,福島県,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,914,WRC,福島県,1358,ARTE3S,福島県,1983,ASA8RA,福島県,0,,-
6th style,route 80s,0,,-,870,SORA,福島県,1200,ARTE3S,福島県,1522,U*PAFE,福島県,0,,-
6th style,rottel-da-sun,0,,-,780,KAICHO,福島県,1358,KOME-S,福島県,1863,ASA8RA,福島県,0,,-
6th style,NEMESIS,0,,-,953,KAICHO,福島県,1507,SORA,福島県,1888,U*PAFE,福島県,0,,-
6th style,Linus,0,,-,914,AAAA,福島県,1452,PONKOT,福島県,2184,U*PAFE,福島県,0,,-
6th style,G2,0,,-,1382,IDX32,福島県,1736,SAK#9,福島県,2332,U*PAFE,福島県,0,,-
6th style,Frozen Ray (original mix),0,,-,1294,SORA,福島県,1726,SORA,福島県,1799,U*PAFE,福島県,0,,-
6th style,Free Style,0,,-,901,WRC,福島県,1058,SORA,福島県,1302,KOME-S,福島県,0,,-
6th style,fly through the night,0,,-,862,WRC,福島県,1306,SORA,福島県,1711,U*PAFE,福島県,0,,-
6th style,DIVE ～INTO YOUR HEART～,0,,-,1240,HITOMI,福島県,1802,SORA,福島県,2115,UDON-F,福島県,0,,-
6th style,Colors (radio edit),0,,-,1349,HITOMI,福島県,1968,ASA8RA,福島県,2456,U*PAFE,福島県,0,,-
6th style,Buffalo,0,,-,974,WRC,福島県,1406,SORA,福島県,1812,KOME-S,福島県,2485,XWHW73,福島県
6th style,Blueberry Stream,0,,-,795,WRC,福島県,1415,SORA,福島県,1654,U*PAFE,福島県,0,,-
6th style,BALLAD FOR YOU～想いの雨～,0,,-,590,WRC,福島県,766,WRC,福島県,1071,YA9CHU,福島県,0,,-
6th style,"19,November",0,,-,1076,SORA,福島県,1433,HAMITN,福島県,1797,UDON-F,福島県,0,,-
7th style,革命,0,,-,738,SORA,福島県,1927,42TAI3,福島県,2314,UDON-F,福島県,0,,-
7th style,ZERO-ONE,0,,-,1068,SORA,福島県,1626,SORA,福島県,2253,U*PAFE,福島県,2866,U*PAFE,福島県
7th style,traces,0,,-,1482,SORA,福島県,1920,GILLE,福島県,2127,UDON-F,福島県,0,,-
7th style,Tomorrow Perfume,0,,-,1294,SORA,福島県,1853,SORA,福島県,2102,KOME-S,福島県,0,,-
7th style,stoic,0,,-,1678,TOSH,福島県,2433,ARTE3S,福島県,2576,U*PAFE,福島県,0,,-
7th style,Spica,0,,-,640,KAICHO,福島県,1480,GILLE,福島県,2261,U*PAFE,福島県,0,,-
7th style,Love Me Do,0,,-,1075,MINO,福島県,1649,WRC,福島県,2113,KOME-S,福島県,0,,-
7th style,Let the Snow Paint Me,0,,-,856,4ZUNO8,福島県,1036,WRC,福島県,1243,07KING,福島県,0,,-
7th style,Last Message,0,,-,1011,07KING,福島県,1336,07KING,福島県,1627,U*PAFE,福島県,0,,-
7th style,Happy Wedding,0,,-,1176,SORA,福島県,1647,TOSH,福島県,1829,UDON-F,福島県,0,,-
7th style,Glorious Days,0,,-,513,WRC,福島県,792,WRC,福島県,913,KOME-S,福島県,0,,-
7th style,foreplay,0,,-,630,KEISE,福島県,1172,1919,福島県,1343,U*PAFE,福島県,0,,-
7th style,DESTINY,0,,-,1029,WRC,福島県,1339,SORA,福島県,1840,ASA8RA,福島県,0,,-
7th style,D2R,0,,-,893,HITOMI,福島県,1311,ARTE3S,福島県,1621,ASA8RA,福島県,0,,-
7th style,Cheer Train,0,,-,878,HITOMI,福島県,1224,ARTE3S,福島県,1722,ASA8RA,福島県,0,,-
7th style,Burning Heat! (Full Option Mix),0,,-,698,WRC,福島県,919,SORA,福島県,1463,KOME,福島県,0,,-
7th style,Bad Routine,0,,-,982,9800MS,福島県,1368,SORA,福島県,1915,KOME-S,福島県,0,,-
7th style,AVE DE RAPINA,0,,-,1385,U*PAFE,福島県,1611,RIN*S,福島県,1833,U*PAFE,福島県,0,,-
7th style,A,0,,-,1251,DAIFU9,福島県,2140,LILY..,福島県,2491,U*PAFE,福島県,0,,-
8th style,蒼い衝動,0,,-,913,WRC,福島県,1371,ARTE3S,福島県,1593,YA9BU2,福島県,0,,-
8th style,桜,0,,-,1002,I-L,福島県,1480,VA7MEI,福島県,2136,U*PAFE,福島県,0,,-
8th style,xenon,0,,-,1129,KOME-S,福島県,1621,SORA,福島県,2742,U*PAFE,福島県,0,,-
8th style,World Wide Love,0,,-,700,WRC,福島県,1037,BMOTOR,福島県,1117,KOME-S,福島県,0,,-
8th style,WAR GAME,0,,-,961,WRC,福島県,1557,ARTE3S,福島県,2148,ASA8RA,福島県,0,,-
8th style,thunder,0,,-,1166,SORA,福島県,1556,AOI,福島県,1871,SIYORI,福島県,0,,-
8th style,symbolic,0,,-,1388,SORA,福島県,1811,LILY..,福島県,2253,U*PAFE,福島県,0,,-
8th style,STAR DREAM,0,,-,778,WRC,福島県,1228,WYSE,福島県,1413,KOME-S,福島県,0,,-
8th style,rainbow flyer,0,,-,778,ARCO,福島県,1622,CUTLAS,福島県,2113,ASA8RA,福島県,0,,-
8th style,PLEASE DON'T GO,0,,-,929,HITOMI,福島県,1326,BNO31,福島県,2444,U*PAFE,福島県,0,,-
8th style,MUSIC TO YOUR HEAD,0,,-,793,HITOMI,福島県,1449,ARTE3S,福島県,1691,U*PAFE,福島県,0,,-
8th style,murmur twins,0,,-,1097,BMOTOR,福島県,1641,SORA,福島県,2402,U*PAFE,福島県,0,,-
8th style,Monkey Dance,0,,-,808,WRC,福島県,1362,ASA8RA,福島県,1985,U*PAFE,福島県,0,,-
8th style,memories,0,,-,1077,KAICHO,福島県,1997,SORA,福島県,2255,U*PAFE,福島県,0,,-
8th style,Luv 2 Feel Your Body,0,,-,801,ZIV-L,福島県,1026,2M,福島県,1654,U*PAFE,福島県,0,,-
8th style,LOVE IS ORANGE,0,,-,754,HITOMI,福島県,1001,SORA,福島県,1793,U*PAFE,福島県,2100,ASA8RA,福島県
8th style,LAB,0,,-,1011,KENTO,福島県,1928,KOME-S,福島県,2104,ASA8RA,福島県,0,,-
8th style,HYPER BOUNDARY GATE,0,,-,1192,HITOMI,福島県,1892,42TAI3,福島県,2206,KOME-S,福島県,0,,-
8th style,Halfway of promise,0,,-,942,WRC,福島県,1503,TOSH,福島県,1813,TOSH,福島県,0,,-
8th style,Giudecca,0,,-,872,J0NY,福島県,1853,SORA,福島県,2708,U*PAFE,福島県,0,,-
8th style,dual control,0,,-,728,HITOMI,福島県,1396,SORA,福島県,1895,U*PAFE,福島県,0,,-
8th style,Colors -Y&Co. Eurobeat Remix-,0,,-,1132,SORA,福島県,1899,MRB4,福島県,2180,ASA8RA,福島県,0,,-
8th style,CELEBRATE NITE,0,,-,877,292929,福島県,1174,U*PAFE,福島県,1420,UDON-F,福島県,0,,-
8th style,Blame,0,,-,1195,SORA,福島県,1500,SORA,福島県,1926,ASA8RA,福島県,0,,-
8th style,bit mania,0,,-,883,WRC,福島県,1271,KOME-S,福島県,1866,42NVAI,福島県,0,,-
8th style,Attitude,0,,-,1022,WRC,福島県,1375,9800MS,福島県,1758,UDON-F,福島県,0,,-
8th style,ALL RIGHT,0,,-,843,HITOMI,福島県,1257,WRC,福島県,1627,U*PAFE,福島県,0,,-
8th style,airflow,0,,-,552,WRC,福島県,790,ARTE3S,福島県,1424,YA9CHU,福島県,0,,-
8th style,abstract,0,,-,1257,SORA,福島県,1560,SORA,福島県,1913,U*PAFE,福島県,0,,-
9th style,真夏の花・真夏の夢,0,,-,818,WRC,福島県,1114,SORA,福島県,1479,KOME-S,福島県,0,,-
9th style,ライオン好き,0,,-,643,WRC,福島県,1152,75U,福島県,1507,ASA8RA,福島県,0,,-
9th style,SWEETEST SAVAGE,0,,-,622,--30--,福島県,1333,X-KLVR,福島県,1829,U*PAFE,福島県,0,,-
9th style,Sweet Sweet Magic,0,,-,983,WRC,福島県,1493,SORA,福島県,2056,U*PAFE,福島県,0,,-
9th style,STAR FIELD,0,,-,695,WRC,福島県,1559,*HAMU*,福島県,1892,U*PAFE,福島県,0,,-
9th style,SNOW,0,,-,1004,HITOMI,福島県,1357,SORA,福島県,2058,UDON-F,福島県,0,,-
9th style,Silvia Drive,0,,-,825,WRC,福島県,1548,KOME-S,福島県,2050,XWHW73,福島県,0,,-
9th style,rottel-the-Mercury,0,,-,984,AURA,福島県,1904,X-KLVR,福島県,2268,U*PAFE,福島県,0,,-
9th style,RISLIM -Remix-,0,,-,737,--30--,福島県,974,SORA,福島県,1878,U*PAFE,福島県,0,,-
9th style,Really Love,0,,-,650,WRC,福島県,967,UDON-F,福島県,1753,XWHW73,福島県,0,,-
9th style,Quickening,0,,-,882,KAICHO,福島県,1704,ARTE3S,福島県,2113,U*PAFE,福島県,0,,-
9th style,quasar,0,,-,1156,SORA,福島県,1751,42TAI3,福島県,2304,UDON-F,福島県,0,,-
9th style,one or eight,0,,-,1315,SORA,福島県,1796,3BOTEN,福島県,2292,U*PAFE,福島県,0,,-
9th style,moon_child,0,,-,1010,KAICHO,福島県,1902,X-KLVR,福島県,2553,U*PAFE,福島県,0,,-
9th style,MARIA (I believe... ),0,,-,740,WRC,福島県,1505,MITSU,福島県,1959,UDON-F,福島県,0,,-
9th style,Make A Difference,0,,-,824,HITOMI,福島県,1558,SORA,福島県,2230,KOME-S,福島県,0,,-
9th style,lower world,0,,-,1340,SORA,福島県,1822,VIRDY.,福島県,2251,UDON-F,福島県,0,,-
9th style,LOVE SHINE,532,07KING,福島県,854,07KING,福島県,1838,07KING,福島県,2083,ASA8RA,福島県,0,,-
9th style,lights,0,,-,667,HITOMI,福島県,1404,SORA,福島県,1788,U*PAFE,福島県,0,,-
9th style,Let The Snow Paint Me -Y&Co. Remix-,0,,-,615,9*KIE-,福島県,1186,HITOMI,福島県,1816,UDON-F,福島県,0,,-
9th style,Karma,0,,-,1289,SORA,福島県,1666,UDON-F,福島県,1833,U*PAFE,福島県,0,,-
9th style,I Was The One (80's EUROBEAT STYLE),0,,-,783,WRC,福島県,1356,ARTE3S,福島県,1443,07KING,福島県,0,,-
9th style,HYPER EUROBEAT (2DX style),0,,-,1062,MALO,福島県,1661,07KING,福島県,1964,UDON-F,福島県,0,,-
9th style,Golden Horn,0,,-,670,BAKETU,福島県,1199,SORA,福島県,1496,UDON-F,福島県,0,,-
9th style,e-motion 2003  -romantic extra-,0,,-,1253,HITOMI,福島県,1577,CPU1,福島県,1994,U*PAFE,福島県,0,,-
9th style,Distress,0,,-,1299,SORA,福島県,1852,U*PAFE,福島県,0,,-,0,,-
9th style,Cradle,0,,-,856,HITOMI,福島県,1393,*HAMU*,福島県,1595,U*PAFE,福島県,0,,-
9th style,BRIGHTNESS DARKNESS,0,,-,698,HITOMI,福島県,1423,XWHW73,福島県,1768,U*PAFE,福島県,0,,-
9th style,bag,0,,-,898,WRC,福島県,1226,ARTE3S,福島県,1902,KOME-S,福島県,0,,-
9th style,BAD BOY BASS!! (dj Remo-con MIX),0,,-,902,HITOMI,福島県,1362,SORA,福島県,1798,ASA8RA,福島県,0,,-
9th style,ATOMIC AGE,0,,-,366,WRC,福島県,670,U*PAFE,福島県,1332,U*PAFE,福島県,0,,-
9th style,ACT,0,,-,1052,KENTO,福島県,1702,ARTE3S,福島県,1855,ASA8RA,福島県,0,,-
9th style,Abyss -The Heavens Remix-,572,WRC,福島県,1474,SORA,福島県,1833,ARTE3S,福島県,2366,ASA8RA,福島県,0,,-
10th style,雪月花,0,,-,1202,SORA,福島県,1865,LILY..,福島県,2523,U*PAFE,福島県,0,,-
10th style,システムロマンス,0,,-,904,WRC,福島県,1781,ARTE3S,福島県,2037,U*PAFE,福島県,0,,-
10th style,SPACE FIGHT,0,,-,622,HITOMI,福島県,1456,SORA,福島県,2247,U*PAFE,福島県,0,,-
10th style,SHOOTING STAR,0,,-,1242,ZUMOMO,福島県,1601,SAK#9,福島県,2283,U*PAFE,福島県,0,,-
10th style,Rise'n Beauty,0,,-,1271,SORA,福島県,1577,SORA,福島県,2154,42NVAI,福島県,0,,-
10th style,rainbow rainbow,0,,-,1581,UDON-F,福島県,2222,FUZ,福島県,2719,42NVAI,福島県,0,,-
10th style,pandora,0,,-,888,WRC,福島県,1607,SORA,福島県,1854,UDON-F,福島県,0,,-
10th style,One More Lovely,0,,-,861,WRC,福島県,1573,K.B.,福島県,2854,U*PAFE,福島県,0,,-
10th style,No.13,0,,-,1644,42TAI,福島県,2606,YOSHI,福島県,3155,ASA8RA,福島県,0,,-
10th style,Narcissus At Oasis,0,,-,779,ARTE3S,福島県,1563,ARTE3S,福島県,1659,ASA8RA,福島県,0,,-
10th style,Lucy,0,,-,958,WRC,福島県,1776,YA9CHU,福島県,2326,U*PAFE,福島県,0,,-
10th style,Love Is Eternity,0,,-,1208,AMANE,福島県,1916,R352,福島県,2399,U*PAFE,福島県,0,,-
10th style,Innocent Walls,0,,-,1568,KOME-S,福島県,2487,XWHW73,福島県,2819,U*PAFE,福島県,0,,-
10th style,HIGH,0,,-,901,WRC,福島県,1943,U*PAFE,福島県,2171,U*PAFE,福島県,2868,U*PAFE,福島県
10th style,GRADIUS -FULL SPEED-,0,,-,721,KAICHO,福島県,1154,IIDX29,福島県,2104,U*PAFE,福島県,0,,-
10th style,GHOST REVIVAL,0,,-,902,WRC,福島県,1914,*HAMU*,福島県,2587,U*PAFE,福島県,0,,-
10th style,Freezing atmosphere,0,,-,812,UDON-F,福島県,1104,SORA,福島県,1501,KOME-S,福島県,0,,-
10th style,FEEL IT,0,,-,890,HITOMI,福島県,1725,07KING,福島県,1992,U*PAFE,福島県,0,,-
10th style,Feedback,0,,-,995,K-YUI,福島県,1551,SORA,福島県,1942,U*PAFE,福島県,0,,-
10th style,EXE,0,,-,828,HITOMI,福島県,1626,ARTE3S,福島県,2253,U*PAFE,福島県,0,,-
10th style,DoLL,347,MMSZNN,福島県,940,WRC,福島県,1241,ARTE3S,福島県,1616,KOME-S,福島県,0,,-
10th style,desolation,0,,-,488,WRC,福島県,646,WRC,福島県,766,KOME-S,福島県,0,,-
10th style,Debtty Daddy,0,,-,1007,HITOMI,福島県,1957,ARTE3S,福島県,2699,U*PAFE,福島県,0,,-
10th style,Daisuke,472,MMSZNN,福島県,1207,SORA,福島県,1679,TOSH,福島県,2396,ASA8RA,福島県,0,,-
10th style,CARRY ON NIGHT (English version),0,,-,989,HITOMI,福島県,1320,SORA,福島県,2055,UDON-F,福島県,0,,-
10th style,Boundary,0,,-,810,ACT,福島県,1847,U*PAFE,福島県,2047,UDON-F,福島県,0,,-
10th style,Back Into The Light,0,,-,1155,SORA,福島県,1635,ARTE3S,福島県,2163,U*PAFE,福島県,0,,-
10th style,BABY LOVE,0,,-,1179,HAMITN,福島県,1655,XWHW73,福島県,2155,UDON-F,福島県,0,,-
10th style,ASTRAL VOYAGE,0,,-,1004,ASA8RA,福島県,1373,*HAMU*,福島県,1931,U*PAFE,福島県,0,,-
10th style,ALIEN TEMPLE,0,,-,975,WRC,福島県,1659,U*PAFE,福島県,2026,U*PAFE,福島県,0,,-
10th style,1st Samurai,0,,-,1058,WRC,福島県,1994,U*PAFE,福島県,2711,U*PAFE,福島県,0,,-
IIDX RED,ＵＬＴｉＭΛＴＥ,0,,-,915,--30--,福島県,1410,SORA,福島県,2004,ASA8RA,福島県,0,,-
IIDX RED,太陽～T・A・I・Y・O～,0,,-,824,AUTO,福島県,1375,SORA,福島県,1741,ASA8RA,福島県,0,,-
IIDX RED,大桟橋,0,,-,490,WRC,福島県,1087,MAN*10,福島県,1854,ASA8RA,福島県,0,,-
IIDX RED,ピアノ協奏曲第１番”蠍火”,0,,-,803,KAICHO,福島県,2119,XWHW73,福島県,2639,U*PAFE,福島県,0,,-
IIDX RED,Wonder Bullfighter,0,,-,902,HITOMI,福島県,1383,SORA,福島県,2071,U*PAFE,福島県,0,,-
IIDX RED,The Hope of Tomorrow,0,,-,1030,WRC,福島県,1659,AZL.,福島県,1945,07KING,福島県,0,,-
IIDX RED,spiral galaxy,0,,-,1052,SORA,福島県,2094,U*PAFE,福島県,2602,U*PAFE,福島県,3782,U*PAFE,福島県
IIDX RED,Sphere,0,,-,1032,KEISE,福島県,1881,SORA,福島県,2204,UDON-F,福島県,0,,-
IIDX RED,SPEEDY CAT,0,,-,1092,SILVIA,福島県,1671,ARTE3S,福島県,2042,U*PAFE,福島県,0,,-
IIDX RED,Secret of Love,0,,-,1043,HITOMI,福島県,1422,SORA,福島県,2034,UDON-F,福島県,0,,-
IIDX RED,RESONATE 1794,0,,-,855,KEISE,福島県,1404,SORA,福島県,1878,ASA8RA,福島県,0,,-
IIDX RED,RED ZONE,177,WRC,福島県,1089,WRC,福島県,1883,ARTE3S,福島県,2331,07KING,福島県,3067,ASA8RA,福島県
IIDX RED,Raspberry Heart(English version),0,,-,1023,HITOMI,福島県,1523,SORA,福島県,1857,U*PAFE,福島県,0,,-
IIDX RED,NEBULA GRASPER,0,,-,1358,SORA,福島県,1930,SORA,福島県,2429,LILY..,福島県,0,,-
IIDX RED,KEY,0,,-,1101,SORA,福島県,1865,REA*,福島県,2859,ASA8RA,福島県,0,,-
IIDX RED,HORIZON,0,,-,1048,WRC,福島県,1510,SORA,福島県,1971,U*PAFE,福島県,0,,-
IIDX RED,gigadelic,690,MMSZNN,福島県,1416,SAK#9,福島県,2167,XWHW73,福島県,2532,UDON-F,福島県,0,,-
IIDX RED,GENOCIDE,0,,-,1154,UDON-F,福島県,2048,ARTE3S,福島県,2401,U*PAFE,福島県,0,,-
IIDX RED,Fly Away To India,0,,-,659,HITOMI,福島県,1032,SORA,福島県,1416,U*PAFE,福島県,0,,-
IIDX RED,FAKE TIME,0,,-,1001,T-TA2A,福島県,1746,TOSH,福島県,2360,U*PAFE,福島県,0,,-
IIDX RED,earth scape,0,,-,452,WRC,福島県,1016,KENTO,福島県,1285,KOME-S,福島県,0,,-
IIDX RED,Don't be afraid myself,0,,-,1089,WRC,福島県,1890,ARTE3S,福島県,2277,ASA8RA,福島県,0,,-
IIDX RED,D.A.N.C.E.!,0,,-,543,KEISE,福島県,832,HAMITN,福島県,1607,U*PAFE,福島県,0,,-
IIDX RED,Close my Eyes for Me,0,,-,979,KEISE,福島県,1473,KOME-S,福島県,1882,U*PAFE,福島県,0,,-
